building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
,Market Weighton,,2,11690,high,,Unique tower in Market Weighton (East Riding of Yorkshire); building unspecified in source
,Billingshurst,,2,15040,high,,Unique tower in Billingshurst (West Sussex); building unspecified in source
,Queensbury,,2,13272,medium,22905,Partial dedication match for 'Holy Trinity' among 2 towers in town
St James,Barton under Needwood,Staffordshire,2,13369,high,,Unique tower in Barton under Needwood; dedication 'S James' matches 'St James'
Holy Trinity,Lower Beeding,West Sussex,2,13127,high,,Unique tower in Lower Beeding; dedication 'Holy Trinity' matches 'Holy Trinity'
,Epworth,,2,15171,high,,Unique tower in Epworth (Lincolnshire); building unspecified in source
St Paul's,Burwood,"New South Wales, Australia",2,10621,high,,Unique tower in Burwood; dedication 'S Paul' matches 'St Paul's'
,Sutton-on-Trent,,2,11372,high,,Unique tower in Sutton on Trent (Nottinghamshire); building unspecified in source
Cathedral Church of St Paul,Melbourne,Victoria,2,15996,high,15155;13573;16327;16814;10825,Resolved dedication 'Cath Ch of S Paul' (Melbourne) among 6 towers in town
All Saints,Sutton on Trent,Nottinghamshire,2,11372,high,,Unique tower in Sutton on Trent; dedication 'All Saints' matches 'All Saints'
St Mary the Virgin,Stotfold,Bedfordshire,2,14081,high,,Unique tower in Stotfold; dedication 'S Mary V' matches 'St Mary the Virgin'
,Kintbury,,2,13090,high,,Unique tower in Kintbury (Berkshire); building unspecified in source
St Peter,Ashton under Lyne,Greater Manchester,2,15994,high,10838;17995;17996;17997;17998,Resolved dedication 'S Peter' (Ashton under Lyne) among 6 towers in town
St Mary,Purton,Wiltshire,2,13174,high,,Unique tower in Purton; dedication 'S Mary' matches 'St Mary'
,Wanborough,,2,11390,medium,25491,Partial dedication match for 'S Andrew' among 2 towers in town
St Mary,Longcot,Oxfordshire,2,15804,high,,Unique tower in Longcot; dedication 'S Mary V' matches 'St Mary'
,Tetbury,,2,15266,medium,24020,Partial dedication match for 'S Mary V & S Mary Magdalen' among 2 towers in town
Cathedral Church of St Nicholas,Newcastle upon Tyne,Tyne & Wear,2,,none,,No matching tower found for 'Newcastle upon Tyne' in Dove register
,Hugglescote,,2,10045,high,,Unique tower in Hugglescote (Leicestershire); building unspecified in source
SS Peter and Paul,Uppingham,Rutland,2,13320,high,,Unique tower in Uppingham; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
Christ Church,Esher,Surrey,2,10290,high,25955;19985,Resolved dedication 'Christ Church' (Esher) among 3 towers in town
St John the Baptist,Knaresborough,North Yorkshire,2,12456,high,21389,Resolved dedication 'S John Bapt' (Knaresborough) among 2 towers in town
St Mary Magdalene,Woolwich,Greater London,2,14252,high,,Unique tower in Woolwich; dedication 'S Mary Magd' matches 'St Mary Magdalene'
,West Wycombe,,2,12842,medium,25801,Partial dedication match for 'S Lawrence' among 2 towers in town
St Andrew,East Hagbourne,Oxfordshire,2,11398,high,,Unique tower in East Hagbourne; dedication 'S Andrew' matches 'St Andrew'
Holy Trinity,Cookham,Berkshire,2,11061,high,,Unique tower in Cookham; dedication 'Holy Trinity' matches 'Holy Trinity'
,Ambrosden,,2,10327,high,,Unique tower in Ambrosden (Oxfordshire); building unspecified in source
,Selling,,2,14311,high,,Unique tower in Selling (Kent); building unspecified in source
,Irthlingborough,,2,13376,high,,Unique tower in Irthlingborough (Northamptonshire); building unspecified in source
,Edmonton,,2,10584,medium,19899;19900;19901,Partial dedication match for 'All Saints' among 4 towers in town
St Peter,Farnborough,Hampshire,2,14575,high,25459,Resolved dedication 'S Peter' (Farnborough) among 2 towers in town
St Philip's Church Hill,Sydney,"New South Wales, Australia",2,11518,high,16969;15468;13849;14777;13677;10621;12983;13900;11755;16839,Resolved dedication 'S Philip' (Sydney) among 20 towers in town
"St Philip, Church Hill",Sydney,New South Wales,2,11518,high,16969;15468;13849;14777;13677;10621;12983;13900;11755;16839,Resolved dedication 'S Philip' (Sydney) among 20 towers in town
St Lawrence,Barnwood,Gloucestershire,2,10976,high,,Unique tower in Barnwood; dedication 'S Lawrence' matches 'St Lawrence'
,Chewton Mendip,,2,15316,high,,Unique tower in Chewton Mendip (Somerset); building unspecified in source
,Hindley,,2,13391,high,,Unique tower in Hindley (Greater Manchester); building unspecified in source
,Sutton Courtenay,,2,15735,high,,Unique tower in Sutton Courtenay (Oxfordshire); building unspecified in source
St Mary,Lambeth,Greater London,2,10973,medium,,"Sole ringing tower in Waterloo, but dedication 'S John Ev' differs from source 'St Mary'"
St John the Baptist,Newton Nottage,Bridgend,2,12990,high,,Unique tower in Newton Nottage; dedication 'S John Bapt' matches 'St John the Baptist'
St Lawrence Jewry,City of London,,2,16020,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;13189,Resolved dedication 'S Lawrence Jewry' (London) among 42 towers in town
St Mary,Chiddingfold,Surrey,2,10544,high,,Unique tower in Chiddingfold; dedication 'S Mary' matches 'St Mary'
St Mary the Virgin,Shalford,Surrey,2,16320,high,,Unique tower in Shalford; dedication 'S Mary V' matches 'St Mary the Virgin'
,Drogheda,,2,15123,medium,25549,Partial dedication match for 'S Peter' among 2 towers in town
,Broughton Astley,,2,13152,high,,Unique tower in Broughton Astley (Leicestershire); building unspecified in source
,Harwell,,2,13755,high,,Unique tower in Harwell (Oxfordshire); building unspecified in source
,Eastwood,Yorks,2,15197,high,,Unique tower in Rotherham (South Yorkshire); building unspecified in source
St Mary,Woburn,Bedfordshire,2,13400,high,,Unique tower in Woburn; dedication 'S Mary' matches 'St Mary'
,Caythorpe,,2,13483,high,,Unique tower in Caythorpe (Lincolnshire); building unspecified in source
,Billingborough,,2,16911,high,,Unique tower in Billingborough (Lincolnshire); building unspecified in source
St Mary,Slaugham,West Sussex,2,15378,high,,Unique tower in Slaugham; dedication 'S Mary' matches 'St Mary'
St James,Hendersonville,North Carolina,2,12823,high,,Unique tower in Hendersonville; dedication 'S James' matches 'St James'
St Peter,Petersfield,Hampshire,2,10078,high,,Unique tower in Petersfield; dedication 'S Peter' matches 'St Peter'
St Thomas,Houston,,2,12900,high,13288;11879,Resolved dedication 'S Thomas' (Houston) among 3 towers in town
19 The Green,Romanby,North Yorkshire,2,,none,,Private residence address (handbell ring)
,Great Glen,,2,13762,high,,Unique tower in Great Glen (Leicestershire); building unspecified in source
St Mark's Cathedral,Shreveport,Louisiana,2,10716,high,,Unique tower in Shreveport; dedication 'Cath Ch of S Mark' matches 'St Mark's Cathedral'
,Henfield,,2,11797,high,,Unique tower in Henfield (West Sussex); building unspecified in source
St Peter,Colchester,,2,11757,high,12589;14599;19283;19284;19285;22245;19286,Resolved dedication 'S Peter' (Colchester) among 8 towers in town
St Peter,Colchester,Essex,2,11757,high,12589;14599;19283;19284;19285;22245;19286,Resolved dedication 'S Peter' (Colchester) among 8 towers in town
St Laurence,Ludlow,Shropshire,2,10168,high,21868,Resolved dedication 'S Laurence' (Ludlow) among 2 towers in town
St Helen,Wheathampstead,Hertfordshire,2,12673,high,,Unique tower in Wheathampstead; dedication 'S Helen' matches 'St Helen'
,Hurst,Berks,2,11786,high,,Unique tower in Hurst (Berkshire); building unspecified in source
,Frittenden,,2,16185,high,,Unique tower in Frittenden (Kent); building unspecified in source
"Tilehurst, 15 Lytham End",Reading,,2,,none,16811;10597;16674;22958;22959;22960;17427;25652;25109;22962,"Unresolved: 'Tilehurst, 15 Lytham End' did not match any of the 13 towers in Reading"
St Martin in the Fields,Philadelphia,Pennsylvania,2,13478,high,10173;16003;12483,Resolved dedication 'S Martin in the Fields' (Philadelphia) among 4 towers in town
,Edgbaston,,2,10824,medium,19879;19880;19881;19882,Partial dedication match for 'S Bartholomew' among 5 towers in town
St Mary the Virgin,Ewell,Surrey,2,12749,high,25701,Resolved dedication 'S Mary V' (Ewell) among 2 towers in town
St Cuthbert,Holme Lacy,Herefordshire,2,13592,high,,Unique tower in Holme Lacy; dedication 'S Cuthbert' matches 'St Cuthbert'
St Matthias,Malvern Link,Worcestershire,2,16823,high,21932,Resolved dedication 'S Matthias' (Malvern Link) among 2 towers in town
,Bucklebury,,2,11027,high,,Unique tower in Bucklebury (Berkshire); building unspecified in source
St Mary,Bletchingley,Surrey,2,14118,high,,Unique tower in Bletchingley; dedication 'S Mary' matches 'St Mary'
St Paul,Adlington,Lancashire,2,14168,high,,Unique tower in Adlington; dedication 'S Paul' matches 'St Paul'
,Evesham,,2,13495,medium,20002;20003,Partial dedication match for 'Bell Tower' among 3 towers in town
,Brierley Hill,,2,10071,medium,18722,Partial dedication match for 'S Michael' among 2 towers in town
St Mary,Ealing,Middlesex,2,14868,high,13776;19749;19750;19751;19752;10279,Resolved dedication 'S Mary' (Ealing) among 7 towers in town
Holy Trinity,Horwich,Lancashire,2,10582,high,21046,Resolved dedication 'Holy Trinity' (Horwich) among 2 towers in town
,Burnham,Bucks,2,15543,high,,Unique tower in Burnham (Buckinghamshire); building unspecified in source
St Edmund,Downham Market,Norfolk,2,15293,high,,Unique tower in Downham Market; dedication 'S Edmund' matches 'St Edmund'
St Mary,Reading,,2,16674,high,16811;10597;22958;22959;22960;17427;25652;25109;22962;22963,Resolved dedication 'Minster Ch of S Mary V' (Reading) among 13 towers in town
,Hitchin,,2,11700,medium,20918;20919;20920,Partial dedication match for 'S Mary' among 4 towers in town
,Drighlington,,2,10734,high,,Unique tower in Drighlington (West Yorkshire); building unspecified in source
St Helen,Sefton,Merseyside,2,11163,high,,Unique tower in Sefton; dedication 'S Helen' matches 'St Helen'
St John the Baptist,Claines,Worcestershire,2,16916,high,,Unique tower in Claines; dedication 'S John Bapt' matches 'St John the Baptist'
52 Burrows Road,London,Greater London,2,,none,,Private residence address (handbell ring)
,Wrotham,,2,16345,high,,Unique tower in Wrotham (Kent); building unspecified in source
St Peter,Swinton,Greater Manchester,2,12298,high,23954,Resolved dedication 'S Peter' (Swinton) among 2 towers in town
,Ormskirk,,2,11268,high,,Unique tower in Ormskirk (Lancashire); building unspecified in source
St Edmund King and Martyr,Southwold,Suffolk,2,10026,high,,Unique tower in Southwold; dedication 'S Edmund K&M' matches 'St Edmund King and Martyr'
St James,Bermondsey,Greater London,2,11128,high,18284;18285;25878;23021,Resolved dedication 'S James' (Bermondsey) among 5 towers in town
St Michael,Charleston,South Carolina,2,14807,high,15062;16377;14830,Resolved dedication 'S Michael' (Charleston) among 4 towers in town
Christ Church,Wanstead,Greater London,2,12782,high,24422,Resolved dedication 'Christ Church' (Wanstead) among 2 towers in town
St Peter,Market Bosworth,Leicestershire,2,13763,high,,Unique tower in Market Bosworth; dedication 'S Peter' matches 'St Peter'
St Leonard the Less,Samlesbury,Lancashire,2,10494,high,,Unique tower in Samlesbury; dedication 'S Leonard Less' matches 'St Leonard the Less'
St James the Great,Hanslope,Buckinghamshire,2,11622,high,,Unique tower in Hanslope; dedication 'S James Gt' matches 'St James the Great'
,Oswaldtwistle,,2,15566,medium,22599,Partial dedication match for 'Immanuel' among 2 towers in town
114 Park Street Lane,St Albans,Hertfordshire,2,,none,,Private residence address (handbell ring)
170 Headstone Lane,Harrow,Middlesex,2,,none,,Private residence address (handbell ring)
,Houghton-le-Spring,,2,15992,high,,Unique tower in Houghton le Spring (Tyne and Wear); building unspecified in source
,Aston Clinton,,2,17117,high,,Unique tower in Aston Clinton (Buckinghamshire); building unspecified in source
"Cathedral and Parish Church of St Mary, St Denys, and St George",Manchester,Greater Manchester,2,12311,medium,16363;21935,"Partial dedication match for 'Cath and Collegiate Ch of S Mary, S Denys, & S George' among 3 towers in town"
St Michael,Hughenden,Buckinghamshire,2,15656,high,,Unique tower in Hughenden; dedication 'S Michael & All Angels' matches 'St Michael'
St Paul,Burton-upon-Trent,,2,15964,high,17025;17100;11225;12886;11605;25377,Resolved dedication 'S Paul' (Burton upon Trent) among 7 towers in town
St Mary the Virgin,Wotton-under-Edge,Gloucestershire,2,11667,high,25263,Resolved dedication 'S Mary V' (Wotton under Edge) among 2 towers in town
The Assumption of The Blessed Virgin Mary,Bradford Peverell,Dorset,2,15752,high,,Unique tower in Bradford Peverell; dedication 'The Assumption' matches 'The Assumption of The Blessed Virgin Mary'
SS Peter and Paul,Weedon Bec,Northamptonshire,2,10134,high,,Unique tower in Weedon Bec; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
St Michael and All Angels,"Leeds, Headingley",West Yorkshire,2,16033,high,,"Resolved via suburb/parish 'Headingley' in town name (Headingley, S Michael & All Angels)"
St Michael,Elmley Lovett,Worcestershire,2,16031,high,,Unique tower in Elmley Lovett; dedication 'S Michael' matches 'St Michael'
St Thomas,Houston,Texas,2,12900,high,13288;11879,Resolved dedication 'S Thomas' (Houston) among 3 towers in town
Ruined Church of Holy Trinity,Buckfastleigh,Devon,2,11599,high,18770,Resolved dedication 'Ruined ch of Holy Trinity' (Buckfastleigh) among 2 towers in town
St Leonard,Seaford,East Sussex,2,11538,high,,Unique tower in Seaford; dedication 'S Leonard' matches 'St Leonard'
St Mary,Nantwich,Cheshire,2,15949,high,,Unique tower in Nantwich; dedication 'S Mary' matches 'St Mary'
St Mary Magdalene,Ditcheat,Somerset,2,14440,high,,Unique tower in Ditcheat; dedication 'S Mary Magd' matches 'St Mary Magdalene'
"St Michael, Garston",Liverpool,Merseyside,2,14155,high,,"Resolved via parish in building 'Garston' (Garston, S Michael)"
All Saints,Heathfield,East Sussex,2,10785,high,20760,Resolved dedication 'All Saints' (Heathfield) among 2 towers in town
St Leonard,Bretforton,Worcestershire,2,17154,high,,Unique tower in Bretforton; dedication 'S Leonard' matches 'St Leonard'
St Barnabas,Linslade,Bedfordshire,2,11980,high,21615,Resolved dedication 'S Barnabas' (Linslade) among 2 towers in town
Cathedral Church of Holy and Undivided Trinity,Bristol,Bristol,2,10300,high,10331;15455;14342;11615;14422;12166;15180;12993;12039;16354,Resolved dedication 'Cath Ch of Holy & Undivided Trinity' (Bristol) among 17 towers in town
"Virginia Theological Seminary, Immanuel Chapel",Alexandria,Virginia,2,13507,high,,"Unique tower in Alexandria; dedication 'Immanuel Chapel, Virginia Theological Seminary' matches 'Virginia Theological Seminary, Immanuel Chapel'"
St Mary,Portsea,Hampshire,2,16279,high,22838;25505;25442;25443;25444;25445;25506;25446;25447;22839,Resolved dedication 'S Mary' (Portsmouth) among 11 towers in town
St Mary,Haddington,East Lothian,2,11648,high,,Unique tower in Haddington; dedication 'S Mary' matches 'St Mary'
St Mary the Virgin,Selling,Kent,2,14311,high,,Unique tower in Selling; dedication 'S Mary V' matches 'St Mary the Virgin'
St Mary,Horton Kirby,Kent,2,15371,high,,Unique tower in Horton Kirby; dedication 'S Mary' matches 'St Mary'
Holy Trinity,Bradpole,Dorset,2,11115,high,,Unique tower in Bradpole; dedication 'Holy Trinity' matches 'Holy Trinity'
3 King Charles Court,Worcester,Worcestershire,2,,none,,Private residence address (handbell ring)
"Great Hockham, Oldham, Norwich & Wetton",Ringing Room,UK,2,,none,,Virtual ringing platform or dispersed locations
Hayes Close,Wimborne Minster,Dorset,2,,none,,Private residence name (handbell ring)
St Andrew and St George West,Edinburgh,,2,,none,13737;12430;12029;15076,Unresolved: 'St Andrew and St George West' did not match any of the 4 towers in Edinburgh
The Potters Yard Ring,Holcombe,Somerset,2,17774,high,20941;17748,Resolved dedication 'Potters Yard Ring' (Holcombe) among 3 towers in town
St Andrew,Hertford,Hertfordshire,2,16209,high,14953,Resolved dedication 'S Andrew' (Hertford) among 2 towers in town
St Mary,Brownsea Island,Dorset,2,10975,high,,Unique tower in Brownsea Island; dedication 'S Mary' matches 'St Mary'
St Peter and St Paul,Shepton Mallet,Somerset,2,14574,high,,Unique tower in Shepton Mallet; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
"St James, Queen's Square",Sydney,New South Wales,2,13677,high,16969;15468;13849;14777;11518;10621;12983;13900;11755;16839,Resolved dedication 'S James' (Sydney) among 20 towers in town
Holy Trinity,Orange,New South Wales,2,15917,high,,Unique tower in Orange; dedication 'Holy Trinity' matches 'Holy Trinity'
St Saviour,Pimlico,Middlesex,2,14962,high,15224;13642;22765,Resolved dedication 'S Saviour' (Pimlico) among 4 towers in town
St Lawrence,Mickleton,Gloucestershire,2,16821,high,,Unique tower in Mickleton; dedication 'S Lawrence' matches 'St Lawrence'
St Margaret,Uxbridge,Middlesex,2,14402,high,12550,Resolved dedication 'S Margaret' (Uxbridge) among 2 towers in town
Piglet Ring,Uffculme,Devon,2,25331,high,10883,Resolved dedication 'Piglet Ring' (Uffculme) among 2 towers in town
St John the Baptist,Wellington,Somerset,2,15613,high,10049,Resolved dedication 'S John Bapt' (Wellington) among 2 towers in town
St Paul,Maryborough,Queensland,2,14939,high,,Unique tower in Maryborough; dedication 'S Paul' matches 'St Paul'
"Great Hockham, Reach, Norwich & Wetton",Ringing Room,UK,2,,none,,Virtual ringing platform or dispersed locations
St Giles,Lincoln,Lincolnshire,2,12159,high,12153;25226;13659;10782;21599;11493;17791;21600;21601;21602,Resolved dedication 'S Giles' (Lincoln) among 14 towers in town
St John Bapt,Shenstone,Staffordshire,2,15251,high,,Unique tower in Shenstone; dedication 'S John Bapt' matches 'St John Bapt'
All Saints,Bloxwich,West Midlands,2,15802,high,,Unique tower in Bloxwich; dedication 'All Saints' matches 'All Saints'
Christ Church,Coseley,West Midlands,2,12306,high,,Unique tower in Coseley; dedication 'Christ Church' matches 'Christ Church'
St Margaret,Draycott in the Moors,Staffordshire,2,12033,high,,Unique tower in Draycott in the Moors; dedication 'S Margaret' matches 'St Margaret'
St Peter,Clayworth,Nottinghamshire,2,13168,high,,Unique tower in Clayworth; dedication 'S Peter' matches 'St Peter'
,Harthill,,2,13448,medium,20665,Partial dedication match for 'All Hallows' among 2 towers in town
St Oswald,Ashbourne,Derbyshire,2,15741,high,17961,Resolved dedication 'S Oswald' (Ashbourne) among 2 towers in town
,Attenborough,,2,14213,high,,Unique tower in Attenborough (Nottinghamshire); building unspecified in source
"St Thomas, Moorside",Oldham,Lancashire,2,15726,high,12889;22563;22564;22566;22565,Resolved dedication 'S Thomas' (Oldham) among 6 towers in town
Cathedral Church of the Holy Trinity,Chichester,West Sussex,2,10237,high,19131;19132;19133;25521,Resolved dedication 'Cath Ch of Holy Trinity' (Chichester) among 5 towers in town
St Denys,Sleaford,Lincolnshire,2,10240,high,,Unique tower in Sleaford; dedication 'S Denys' matches 'St Denys'
,Quorndon,,2,10703,high,,Unique tower in Quorn (Leicestershire); building unspecified in source
,Darling Point,,2,11755,high,,Unique tower in Darling Point (New South Wales); building unspecified in source
Christ Church,Boston,,2,12291,high,15592;11198;18510;18509;18511,Resolved dedication 'Christ Church' (Boston) among 6 towers in town
,Highworth,,2,10272,high,,Unique tower in Highworth (Wiltshire); building unspecified in source
St Mary,Wigton,Cumbria,2,11142,high,,Unique tower in Wigton; dedication 'S Mary' matches 'St Mary'
St Margaret,Barking,Greater London,2,15510,high,25142;18110,Resolved dedication 'S Margaret' (Barking) among 3 towers in town
St George,Wrotham,Kent,2,16345,high,,Unique tower in Wrotham; dedication 'S George' matches 'St George'
,Little Rock,,2,11263,high,,Unique tower in Little Rock (Arkansas); building unspecified in source
Church of the Advent,Boston,Massachusetts,2,11198,high,12291,Resolved dedication 'The Advent' (Boston) among 2 towers in town
St Oswald,Durham,,2,12379,high,16115;10063;19742;19743;19744;25876;25517,Resolved dedication 'S Oswald' (Durham) among 8 towers in town
St Paul,Walkden,Greater Manchester,2,12869,high,,Unique tower in Walkden; dedication 'S Paul' matches 'St Paul'
,Holywood,,2,13444,high,,Unique tower in Holywood (Down); building unspecified in source
St Mary,Caldicot,Monmouthshire,2,10062,high,,Unique tower in Caldicot; dedication 'S Mary' matches 'St Mary'
35 Provis Wharf,Aylesbury,Buckinghamshire,2,,none,,Private residence address (handbell ring)
The Bell Meadow Peal,Warnham,Sussex,2,,none,25269;15727;25663,Unresolved: 'The Bell Meadow Peal' did not match any of the 3 towers in Warnham
St Mary,Swaffham Bulbeck,Cambridgeshire,2,13661,high,,Unique tower in Swaffham Bulbeck; dedication 'S Mary' matches 'St Mary'
St Kyneburgha,Castor,Northamptonshire,2,,none,,No matching tower found for 'Castor' in Dove register
St Mary,Selborne,Hampshire,2,16706,high,,Unique tower in Selborne; dedication 'S Mary' matches 'St Mary'
St Leonard's Tower,Newton Abbot,Devon,2,16043,high,12315;22366,Resolved dedication 'S Leonard's Tower' (Newton Abbot) among 3 towers in town
St Bartholomew,Sutton cum Lound,Nottinghamshire,2,13122,high,,Unique tower in Sutton cum Lound; dedication 'S Bartholomew' matches 'St Bartholomew'
Cathedral Church of St James and St Edmund (the Norman Tower),Bury St Edmunds,Suffolk,2,12587,high,18865;17434;18866,Resolved dedication 'Cath Ch of S James & S Edmund' (Bury St Edmunds) among 4 towers in town
17 Bramley Gardens,Whimple,Devon,2,,none,,Private residence address (handbell ring)
"All Saints, Chilvers Coton",Nuneaton,Warwickshire,2,13950,high,11805;22505,Resolved dedication 'All Saints' (Nuneaton) among 3 towers in town
St Mary,Kingskerswell,Devon,2,11038,high,,Unique tower in Kingskerswell; dedication 'S Mary' matches 'St Mary'
Southminster Presbyterian,"Pittsburgh, Pennsylvania",,2,11188,high,,"Fuzzy place match (Pittsburgh, Pennsylvania -> Pittsburgh, Pennsylvania)"
"House of Mr William Booth, Bailey Lane",Sheffield,South Yorkshire,2,,none,,Private residence name (handbell ring)
,Salt Lake City,,2,23155,high,,"Fuzzy place match (Salt Lake City -> Salt, Staffordshire)"
84 Coventry Road,Exhall,Warwickshire,2,,none,,Private residence address (handbell ring)
"Stoke, St Michael",Coventry,,2,13274,high,15631;19411;19400;19410;18923;19408;19402;19403;19404;19406,Resolved dedication 'S Michael' (Coventry) among 18 towers in town
SS Peter and Paul,Headcorn,Kent,2,13670,high,,Unique tower in Headcorn; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
St John the Evangelist,Washingborough,Lincolnshire,2,16208,high,,Unique tower in Washingborough; dedication 'S John' matches 'St John the Evangelist'
St Thomas and St Luke,Dudley,West Midlands,2,10607,high,19711;20954,Resolved dedication 'S Thomas & S Luke' (Dudley) among 3 towers in town
St Margaret of Antioch,Westminster,Middlesex,2,13657,high,13512;15153;14872;12465;25551;25523;25538;24658;24660;24654,Resolved dedication 'S Margaret' (Westminster) among 16 towers in town
St Michael the Archangel,Lyme Regis,Dorset,2,14094,high,,Unique tower in Lyme Regis; dedication 'S Michael Archangel' matches 'St Michael the Archangel'
,Chesterfield,,2,13811,medium,19120;19121,Partial dedication match for 'S Mary & All Saints' among 3 towers in town
,Evercreech,,2,14423,high,,Unique tower in Evercreech (Somerset); building unspecified in source
All Saints,West Ham,Greater London,2,13183,high,,Unique tower in West Ham; dedication 'All Saints' matches 'All Saints'
,Leeds,Kent,2,16351,high,,Unique tower in Leeds (Kent); building unspecified in source
St Mary,St Neots,Cambridgeshire,2,12275,high,25247,Resolved dedication 'S Mary' (St Neots) among 2 towers in town
Trinity Wall Street,New York,New York,2,,none,,Private residence name (handbell ring)
Trinity Church,New York,New York,2,10490,high,,Unique tower in New York; dedication 'Trinity Ch' matches 'Trinity Church'
All Saints,Wrington,Somerset,2,16110,high,,Unique tower in Wrington; dedication 'All Saints' matches 'All Saints'
St Bartholomew,Wednesbury,West Midlands,2,13013,high,24498;10517,Resolved dedication 'S Bartholomew' (Wednesbury) among 3 towers in town
St Bartholomew,Wednesbury,,2,13013,high,24498;10517,Resolved dedication 'S Bartholomew' (Wednesbury) among 3 towers in town
"29, Thoresby Road",Beeston,Nottinghamshire,2,,none,,Private residence name (handbell ring)
"St Andrew, Roker",Sunderland,Tyne & Wear,2,11440,high,,"Resolved via parish in building 'Roker' (Roker, S Andrew)"
,Wymondham,Norfolk,2,16892,high,,Unique tower in Wymondham (Norfolk); building unspecified in source
St Laurence,St Laurence in Thanet,Kent,2,16943,high,,Unique tower in St Laurence in Thanet; dedication 'S Laurence' matches 'St Laurence'
Cathedral Church of St Peter,Exeter,Devon,2,13963,high,14687;16135;15779;16959;14227;20007;20008;25133;20009;20016,Resolved dedication 'Cath Ch of S Peter' (Exeter) among 16 towers in town
,Lydney,,2,12490,high,,Unique tower in Lydney (Gloucestershire); building unspecified in source
St Giles,Pontefract,,2,12231,high,13179,Resolved dedication 'S Giles' (Pontefract) among 2 towers in town
St Peter,Evercreech,Somerset,2,14423,high,,Unique tower in Evercreech; dedication 'S Peter' matches 'St Peter'
St Michael the Archangel,Braintree,Essex,2,16457,high,,Unique tower in Braintree; dedication 'S Michael' matches 'St Michael the Archangel'
St Stephen,Bristol,Bristol,2,12993,high,10300;10331;15455;14342;11615;14422;12166;15180;12039;16354,Resolved dedication 'S Stephen M' (Bristol) among 17 towers in town
St Andrew,Leyland,Lancashire,2,16375,high,21588;14916,Resolved dedication 'S Andrew' (Leyland) among 3 towers in town
All Saints,Wigan,Lancashire,2,15730,high,24789,Resolved dedication 'All Saints' (Wigan) among 2 towers in town
37 Northbrook,Micheldever,,2,,none,,Private residence address (handbell ring)
All Saints,Wakefield,Yorkshire,2,14172,high,24365;24366;24367;25548,Resolved dedication 'Cath Ch of All Saints' (Wakefield) among 5 towers in town
,Stroud,,2,14747,medium,23878;25437,Partial dedication match for 'S Laurence' among 3 towers in town
St Mary the Virgin,Lydney,Gloucestershire,2,12490,high,,Unique tower in Lydney; dedication 'S Mary V' matches 'St Mary the Virgin'
St Cuthberga,Wimborne Minster,Dorset,2,11816,high,24842,Resolved dedication 'S Cuthberga' (Wimborne Minster) among 2 towers in town
,Soham,,2,11376,high,,Unique tower in Soham (Cambridgeshire); building unspecified in source
"Tilehurst, 15 Lytham End",Reading,Berkshire,2,,none,16811;10597;16674;22958;22959;22960;17427;25652;25109;22962,"Unresolved: 'Tilehurst, 15 Lytham End' did not match any of the 13 towers in Reading"
Magdalen College,Oxford,Oxfordshire,2,11203,high,14542;10172;11850;12299;16203;13271;13903;10326;10578;14239,Resolved dedication 'Magdalen College' (Oxford) among 26 towers in town
St Martin,Dorking,Surrey,2,16625,high,19668,Resolved dedication 'S Martin' (Dorking) among 2 towers in town
,East Retford,,2,16540,medium,22989,Partial dedication match for 'S Swithun' among 2 towers in town
,Kettering,,2,15324,medium,21274;21275;21276,Partial dedication match for 'S Peter & S Paul' among 4 towers in town
SS Peter and Paul,Kettering,Northamptonshire,2,15324,medium,21274;21275;21276,Partial dedication match for 'S Peter & S Paul' among 4 towers in town
St Michael,Bishop's Stortford,Hertfordshire,2,13338,high,18393,Resolved dedication 'S Michael' (Bishop's Stortford) among 2 towers in town
"40 Ridge Crescent, Hawk Green",Marple,Cheshire,2,,none,,Private residence address (handbell ring)
St Peter and St Paul,Wisbech,Cambridgeshire,2,11719,high,24886,Resolved dedication 'S Peter & S Paul' (Wisbech) among 2 towers in town
St Thomas the Martyr,Oxford,,2,11759,high,14542;10172;11850;12299;11203;16203;13271;13903;10326;10578,Resolved dedication 'S Thomas M' (Oxford) among 26 towers in town
,Ewerby,,2,10801,high,,Unique tower in Ewerby (Lincolnshire); building unspecified in source
St Andrew,Cullompton,Devon,2,15280,high,,Unique tower in Cullompton; dedication 'S Andrew' matches 'St Andrew'
St Mary,Luton,Bedfordshire,2,17088,high,21881;21884;21891;21892;21890;21886;21887;21888;21889;25563,Resolved dedication 'S Mary' (Luton) among 12 towers in town
Cathedral of St Mary the Virgin,Blackburn,Lancashire,2,10297,high,13874;11152;18413;18414;18415;18416,Resolved dedication 'Cath Ch of S Mary V' (Blackburn) among 7 towers in town
St Peter ad Vincula,Stoke on Trent,Staffordshire,2,15103,high,16060;11305;15820;12994,Resolved dedication 'Minster Ch of S Peter ad Vincula' (Stoke on Trent) among 5 towers in town
St John the Baptist,Midsomer Norton,Somerset,2,15593,high,,Unique tower in Midsomer Norton; dedication 'S John Bapt' matches 'St John the Baptist'
